"","COGS004","COGS005","COGS007","COGS008","COGS009","COGS011","COGS012","COGS013","COGS014","COGS015","COGS016","COGS017","COGS018","COGS020","COGS021","COGS022","COGS023","COGS026","COGS028","COGS029","COGS030","COGS033","COGS034","COGS035","COGS037","COGS038","COGS039","COGS040","COGS041","COGS043"
"AP1M2",4123.0695799823,2986.30359514962,3543.38113687188,1341.08845813429,1750.4168372448,1.83542105160891,1763.11915544449,1997.366465258,2280.04492707132,4886.22840144528,1747.7509675447,3031.00808702817,1946.08974551233,1799.61277312641,2194.19094333739,1141.62000133941,4.34405165718566,0.942645759944897,465.776613905443,9.68664474860404,392.604418918106,18.6142259850799,32.4724194668064,0.322596610113319,0.937385215203581,114.924436251289,21.1309414446744,0.9236466159752,756.798645569583,2.79591058869397
"AQP6",8121.44929926232,631.701894244786,4372.21228313585,1187.98470292974,1430.14954612911,364.08931872723,2261.52622210684,2627.35008528171,1708.04976324315,177.034830561507,308.471275639243,790.532059590724,1680.28978518957,202.393125739306,550.361889106247,2124.85111942526,149894.979585767,96043.7139453582,49630.7891097911,70110.3440459071,81449.027948719,180479.715813888,35819.1273217342,83404.6659165652,160075.502608908,9703.61601690173,22786.6852566294,172538.498576666,18979.5783432988,60884.9769953445
"ATP2C1",5794.03423878589,4610.89437444775,10472.0370112583,2408.06734130399,3760.98372035993,2974.09111187006,2656.09848321454,3295.59997378511,4132.343975272,10034.3901994438,3315.32629847081,5136.16124516136,4681.85509800099,2943.27412390495,3352.23170990022,2664.0423777304,1663.76120770144,2160.71330856189,2156.22344632682,1715.43632406697,3022.92406118711,2592.07492545666,1059.38151517094,2323.85821319714,2764.02010149236,1602.7982705217,1224.85370061379,1600.88826759847,3213.42060831886,1725.93224493608
"BSPRY",25785.932835186,3029.90733035156,4949.60027266806,4242.93870212754,5095.43076667529,1206.22512861436,1222.02444649855,2827.14028702836,6531.20168628682,3607.46358245682,589.932169859921,1361.94758423548,2112.45548154768,605.314929903534,1175.1804947941,2251.71965079118,4.34405165718566,33.2498000598351,701.586844310442,143.97909187726,407.725772383495,18.6142259850799,301.456089480459,128.88414992212,65.2838333753403,318.447074721438,53.2110627113135,187.182540869017,393.405604367052,77.5293317333145
"CLDN8",26860.1244015597,8414.26534173966,34042.5047774843,12357.4377279688,6081.14231822023,324.72477719364,7995.51492884735,17346.5709567051,9914.90853912664,12668.9191821769,11013.8541513343,18659.9757872481,12412.9262265554,12373.9591524311,36518.3229861637,7093.86859792363,67.4808237832506,0.942645759944897,15796.0797425499,728.269037279132,1172.5479134487,18.6142259850799,165.902875843365,55.5389099169152,0.356077970851364,1033.85998570742,101.570648501322,170.712182887703,4120.84065857313,2.79591058869397
"DNAI3",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,42.9225434223366,0.668610230940582,2.13563370054075,189.268371317164,40.8268348515565,0.313679446227427,0.388907131961563,0.849138846494412,77.6588078397798,10.3755966599948,4.34405165718566,625.240924212527,230.37225308806,155.759131099072,213.137829105198,18.6142259850799,403.449521665268,227.126398002485,171.144304143529,233.645975358876,250.639470705505,91.1054526446852,200.021003493191,551.78744563152
"ELMO3",9135.96355639307,1330.76822957914,1308.33085481173,789.20282890858,1170.37718777972,2122.66703937388,975.128353290814,1445.92939632421,1844.36331995933,934.075117323384,640.460913843437,1254.15997703314,889.871968396448,864.284419833146,650.136587920276,1342.49517600211,4.34405165718566,21.1953495556085,1049.41708089751,176.963201698334,455.875345260128,18.6142259850799,234.437610254961,127.538365701841,185.259033579287,242.897004380246,132.693154207763,165.222063560598,418.906870416353,2.79591058869397
"ESRP1",31574.6318317555,3581.28359484062,8339.42653379262,4856.54057376128,3383.78002193479,985.076018875093,1771.19519587652,6756.88465848056,8380.2396446139,4658.10884735448,1872.88856006638,4574.39482945829,3663.67753259797,3966.85464974406,1449.96982923274,3837.57629286512,108.94265193697,0.942645759944897,1856.48875587228,273.559523317191,902.35320284346,18.6142259850799,232.82027138979,62.9407231284496,32.8199556730958,431.001261148112,99.9746225676581,108.948340457775,687.732716686061,2.50235528521503
"HOOK2",9195.64086563605,1598.01692920394,1159.32750267439,1026.57299201641,1028.03616950608,847.07897439779,798.609183847897,881.199834129051,1532.60312804386,1199.6149137256,1028.50587740435,1110.83540763089,1028.30944773122,520.679649675142,653.407889520736,1131.04762372559,4.34405165718566,40.1590582756723,690.019561063381,202.87928798632,197.618545285456,18.6142259850799,201.585414556187,176.659489742023,181.02461474856,212.060240975678,133.810372361327,126.791228270866,312.651595210934,2.79591058869397
"ITGB3",35.511373768887,330.695464141062,675.066608228021,130.500626284345,419.528316386282,623.276075341651,262.129355148835,736.996422384494,549.710640143012,25.9146212269114,586.37936754858,439.869320002301,559.066582994756,851.263607490317,179.069157454039,190.106016095042,1005.55468576115,7581.39389262108,5032.01240938125,1797.89659861966,1279.59117876948,1627.96986067849,3459.91672580011,9136.89082835948,1074.48698803207,2648.16454993656,5585.35615397621,1363.44060670119,4726.49572724402,566.573784055598
"KCNG3",35.511373768887,2.10122880220612,8.23198902167083,162.545598303903,373.26748544735,195.13139888643,63.689504533268,199.254649538174,256.864769494383,96.4373855830558,34.9054976659882,44.7265416338689,133.64218997817,145.246227123553,25.3179822324202,877.310560993753,1342.43203951012,378.712710851697,86.4914842781248,1446.85142980966,264.47084481665,2555.15175276302,403.651689023414,348.919869937733,196.550817127894,2625.03697738313,1616.83766992158,1250.89316049555,201.083556245245,2.79591058869397
"KIDINS220",35.511373768887,604.977024282306,1019.63686004563,407.03686630497,472.906198238896,759.946225160519,528.638689405788,561.374390203973,618.193527488459,2270.40953986788,821.259075909455,679.684978821498,574.234515513175,379.620849294487,530.734079503487,285.257414619479,1212.86382652974,1194.44619680235,1593.48526309699,893.189586384499,1708.95803111566,1644.38015965344,1457.449043361,1269.43627660856,1619.31554425235,1692.22488439495,1641.4164693,1419.71432980401,1069.18915467351,735.795212686713
"KRT7",51626.2077373986,31458.136109914,7389.53016391705,2155.26811759415,3045.7201035349,311.455830609284,1400.85105606491,14866.1111535683,455.139033808822,4282.46718415135,224.783043416544,16751.8056579978,811.865458301726,2995.35737327627,14685.6561046938,2251.71965079118,4.34405165718566,0.942645759944897,181.46496778031,108.638974211824,876.089799456205,18.6142259850799,94.133463701428,22.5671965200801,0.937385215203581,279.901120465728,67.0964883341872,0.9236466159752,610.166365786106,2.79591058869397
"LAMA1",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,0.638582851068256,0.668610230940582,342.305324182513,164.801289805849,0.612377867958047,10.1309559160848,35.8932915261421,0.849138846494412,26.9536330326502,63.2374847291265,4.34405165718566,337.698178038535,0.458748805021545,424.344025356384,49.5884534663841,18.6142259850799,183.491436002093,119.463660380167,0.937385215203581,0.490004139322445,0.271812516753546,18.3613715605485,0.523272714582335,2.79591058869397
"LIMS1",35.511373768887,31.0956061406269,609.877641667933,282.417530673358,501.374401893624,55.8074597506914,401.729482616763,267.328327149431,119.24677682877,246.837974873201,538.613914251663,315.607624362913,378.977479442744,484.510726500615,468.579349094747,1004.17909235967,1606.75119399008,912.048642916749,613.310209003924,1517.53166514053,872.508426267034,3010.53754931782,832.044320935424,1424.87435405078,1521.92391114561,1411.61033741338,1475.90857997908,1850.68869698173,1384.76732203361,970.733700980397
"LRFN5",3406.94186906648,136.588513887259,1466.64691645766,1396.87044646463,2622.25557417083,169.035803937196,2531.49671654895,1300.51757610135,749.941558381606,86.3627049607495,94.5136253340422,1056.23557166813,1120.28008617623,19.3783744761999,69.4805538386299,1680.81125964455,4.34405165718566,0.942645759944897,94.8118108242564,198.167272297595,28.8960750400622,18.6142259850799,146.798060498539,42.0810677141254,0.937385215203581,116.466274421517,28.6322633328935,89.7329228129091,41.7006434371171,2.79591058869397
"LSR",2690.81415815066,1769.61872580512,2891.491471271,2240.72137631297,1437.26659704279,2400.4303212064,2312.28990482245,1538.1712435016,2445.05607467511,1383.11802506047,1894.20537393443,2275.08277188856,1662.47348350127,1678.80856972349,856.228588749255,803.303917696969,259.241778994202,541.59479815271,1329.87296594029,407.851970445847,1289.93736798264,18.6142259850799,704.173466907889,723.720775285429,955.9232607717,750.161762385391,474.242704011781,550.902946289701,1024.56193908724,458.140635612359
"MANEA",35.511373768887,115.489932337933,311.870937393247,7.06814146827261,38.7660925043007,349.935775703917,383.269961629268,229.062058669731,2.13563370054075,445.453107141526,293.075798956765,271.362929703434,291.58129683662,119.927980901384,247.766491063699,158.388883253563,269.607236032632,741.816280918036,1282.79209377681,405.495962601485,523.523505500027,18.6142259850799,567.81158383821,895.981155481138,1006.73628674043,705.448455448768,434.182453076824,796.585786177635,727.047168512066,528.786474749621
"MAP4K3",35.511373768887,228.015700601007,8.23198902167083,2.97365621897651,113.495127097961,106.229456771244,267.897955457427,194.823818451051,78.8092623962199,793.749208655546,502.296379513511,361.735071986625,284.599232661475,192.989205713929,308.285570672208,116.099372798258,393.992720493789,1073.31366978427,1044.95251543373,874.3415236296,789.340982207393,475.146357688429,1014.39927798339,1926.85186821484,1026.49690795049,1016.89976583491,1349.02451825282,1135.60065462635,1001.18577854205,1184.31414488375
"MSH2",1198.88142707602,243.48799373718,283.932808867495,383.299849994187,547.635232832556,983.306825997179,251.745874593369,470.743754330998,653.413298123261,995.242821101673,229.91486897737,241.474226396233,325.528574377842,267.497187453454,172.526554253119,792.731540083143,331.799978263211,192.456750011999,695.498800496199,495.024260687256,570.081356959251,18.6142259850799,532.432296162607,616.73092977325,533.892850642522,609.854488894607,556.278437002092,454.825858065369,501.785985076579,332.730580089624
"NDUFS1",1795.65451950588,2017.17541598389,4651.59356839337,1630.68005712584,1825.14587183846,1799.34704093508,1860.03164062884,1182.89915087953,1863.92985920089,5248.19728380386,2637.13581281706,1226.3893708107,1943.9228980097,1637.57599730453,1176.81614559433,1194.48188940854,4001.17176986736,4371.08791565398,3234.4160058292,4632.17403538761,2793.3182467258,9443.37474749724,3843.32712052457,3657.53037549361,6934.92264975899,2567.98896508468,4546.82207894128,5924.35723769339,5187.64362163553,5460.30416026156
"PLCL1",5435.97038332798,735.78822988813,1112.76395513147,1116.77365399739,867.902523948242,1016.47919245807,690.159498046366,718.467492383797,2908.13083672528,3240.45735978709,974.029575297117,148.513298787221,1091.14802530752,1223.08013772445,852.957287148795,1310.77804316063,3659.11168759918,1756.30119469448,3598.88689550853,2669.61950103374,3787.34827189796,11162.353565123,3338.21197619604,3988.59329368224,5550.26769211108,4052.77912301463,4482.50223381464,5198.2889566838,1072.37681292968,3768.63751611427
"PLCL2",1735.97721026289,12106.5171128718,18555.4688647092,3755.14301694094,2312.66385942567,1250.89724878169,6275.3183168252,3173.55071747617,1826.75343464193,315.921499140444,1339.96821336524,6659.77908146703,2416.53641441692,106.183790095064,3774.22961635956,687.00776394488,1083.29561354937,519.249963071705,2451.49357131759,1571.71984556087,1184.88375443362,1718.2265050407,375.449342562005,2107.18695373222,638.341848467134,947.517048174627,668.000252358547,1786.17979488825,1948.98283337438,167.342646605492
"PNPT1",35.511373768887,258.960286873352,228.056551815991,41.4868151189083,220.250890803189,380.896651067414,263.283075210553,257.258256496879,282.953488483125,1466.59395021672,466.768356400101,326.904142148312,375.84758860561,127.88514399978,255.944745064849,348.691680302437,217.779950840483,624.211885754849,437.568677566118,525.652362663967,560.133098100443,81.2991822896886,513.731815534074,575.011618944602,855.708681777815,534.304418553415,671.032701632508,609.921729056076,623.97955156281,410.495767356997
"PRDX3",303.721788431245,1545.97376138226,1522.52317350916,1239.01928799792,2696.98460876449,3204.0861859989,1551.98838415002,1213.10936283719,2300.26368428759,7583.36432804558,3815.87666855752,1236.74451211398,1983.64843555794,1290.35433482907,1476.14024203642,1205.05426702237,4529.81007882728,5800.27532787461,3917.90039137484,4078.51219196245,4035.65681301382,12680.3062203056,5151.95642980557,7130.99944803365,10638.627653702,4765.10835766016,7359.01977405661,9665.87355911522,6979.10756159889,8142.10783665823
"RSPO3",35.511373768887,3079.13735396665,1019.63686004563,733.420840578239,455.113570954692,166.824312839804,1398.54361594147,1210.28974305448,275.779090761221,153.287369094642,1141.01128393014,728.165867650501,644.7774397655,72.1850023110091,926.561573159144,1501.08084020951,108.94265193697,0.942645759944897,151.836487884329,217.015335052494,341.669333561005,18.6142259850799,159.231353024537,93.8937601948661,21.5281721244891,170.430610379511,39.0064319017071,135.026407261523,68.2644622384717,2.79591058869397
"S100A1",35.511373768887,2.10122880220612,311.870937393247,2.97365621897651,1.22593487932871,3913.53253004247,842.450546193196,0.668610230940582,2.13563370054075,29.5127214491636,38.4582999773292,0.313679446227427,0.388907131961563,0.849138846494412,0.471218716946458,10.3755966599948,969.275586126643,16787.6129514893,570.490967510417,3699.1949290201,1417.27508137539,1168.48148937996,465.919235332474,607.983332341437,138.680426441284,2108.52119035662,283.677207532343,1783.4347352247,15133.1373808627,2.79591058869397
"SOCS1",7166.61235137455,2982.08387883975,2053.34761549845,1233.08503392023,1038.71174587661,640.083407681836,1367.39317427507,1613.89817480879,1444.55370145686,1204.65225403675,436.766914659889,1745.08781245693,1777.79792280798,718.161970208058,1224.250018801,1057.0409804288,160.769937129119,97.050184435864,407.534328082521,299.475609605178,183.293052528772,18.6142259850799,324.402084630064,262.116787729739,202.196708902198,383.204277871031,331.717588135618,482.276454700893,493.285563060146,907.754852137102
"SPINT2",67022.9535220888,11629.689169857,25661.0662197588,4880.27759007207,12095.0503402814,18065.3063604777,11003.2631297473,9058.50000682803,11208.9090009682,13087.7380480471,8200.03472075227,12430.8876050827,8904.07783729464,14452.9488565029,9660.93684638729,8605.7185967008,2404.89138594917,1069.49152694147,6447.27966139886,1185.33455908544,5345.24560918739,3609.5134619034,1538.82140501489,1439.00508836371,3400.59439904507,3076.79556126005,1727.60186971784,2171.86067761735,3174.10615649285,2221.54840322462
"SUCLA2",781.140262375127,1071.95896257406,1671.5265256465,1009.95708059886,1800.23619364057,1391.54808257587,1022.43087582127,856.22605891072,1215.62519233065,7721.53137658007,2701.87576604594,1709.55085025703,1239.93822048819,659.568314665325,831.693826745805,1226.19902225002,1834.79124883553,2511.762428124,1635.89863500288,2587.15922648106,2161.80277436863,3777.71902639661,2125.10674363916,1210.22177091628,4874.17215213825,1823.28112886436,1954.07794970471,3308.31537832802,3006.22282166829,2614.75547687233
"HPRT1",18505.3011075418,5062.40401960334,8581.5569810158,5739.55758052242,5237.77178494893,1094.76597730577,5513.86307609105,3805.54835163039,4311.05170034488,3688.06102743527,3476.38666991827,4194.31407480373,3990.63074466165,9372.66190740884,6528.66556394686,3626.1287405886,3462.16800386901,2283.16888502555,2644.07869064147,3470.66216811695,2632.1564532131,3982.84776358346,3235.40987457864,2479.9691827495,2862.82320754267,3244.85592181495,2583.55057794164,2267.93776584168,1919.23135631686,2306.43293862211
"LDHA",23697.2270116815,11266.7935672086,6188.19063730972,7521.0206546467,6689.65017134003,27888.7498150959,7840.91644057709,7976.16881309166,6780.3489526293,5197.10426064787,10690.9438968147,10035.3198022165,8794.0501363277,6529.06116742754,6064.14073668154,5888.61754994743,10329.2832918288,11447.050361635,8861.18903374608,10178.2165010167,7118.42326818144,17385.9594513718,7442.00717920779,10226.3031546753,7673.12299924916,6256.06586827102,8330.68036247104,9486.07215115254,8473.05673098707,15247.7649126735
"TBP",35.511373768887,273.026007906237,293.245518376079,360.749684498943,444.437994584169,510.047731155146,360.1955603949,513.03805107172,532.752972800329,812.459329811257,419.002903103184,369.972116205145,443.742143688053,254.476375110624,393.339412284168,729.297274400185,435.454548647509,595.83982542173,664.65271183737,440.836080266921,831.12366941439,224.889298320479,646.75793719434,614.039361332692,708.915495645927,767.121982257904,723.541954850041,723.841705093498,957.621115707824,442.806655024427
"NEG_A",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,0.638582851068256,0.668610230940582,2.13563370054075,1.01029178335271,0.612377867958047,0.313679446227427,0.388907131961563,0.849138846494412,0.471218716946458,0.108779379471291,4.34405165718566,0.942645759944897,0.458748805021545,0.187731811957016,1.42042682741451,18.6142259850799,0.160056354850095,0.322596610113319,0.937385215203581,0.490004139322445,0.271812516753546,0.9236466159752,0.523272714582335,2.79591058869397
"NEG_B",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,0.638582851068256,0.668610230940582,2.13563370054075,1.01029178335271,0.612377867958047,0.313679446227427,0.388907131961563,0.849138846494412,0.471218716946458,0.108779379471291,4.34405165718566,0.942645759944897,0.458748805021545,0.187731811957016,1.42042682741451,18.6142259850799,0.160056354850095,0.322596610113319,0.937385215203581,0.490004139322445,0.271812516753546,0.9236466159752,0.523272714582335,2.79591058869397
"NEG_C",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,0.638582851068256,0.668610230940582,2.13563370054075,1.01029178335271,0.612377867958047,0.313679446227427,0.388907131961563,0.849138846494412,0.471218716946458,0.108779379471291,4.34405165718566,0.942645759944897,0.458748805021545,0.187731811957016,1.42042682741451,18.6142259850799,0.160056354850095,0.322596610113319,0.937385215203581,0.490004139322445,0.271812516753546,0.9236466159752,0.523272714582335,2.79591058869397
"NEG_D",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,0.638582851068256,0.668610230940582,2.13563370054075,1.01029178335271,0.612377867958047,0.313679446227427,0.388907131961563,0.849138846494412,0.471218716946458,0.108779379471291,4.34405165718566,0.942645759944897,0.458748805021545,0.187731811957016,1.42042682741451,18.6142259850799,0.160056354850095,0.322596610113319,0.937385215203581,0.490004139322445,0.271812516753546,0.9236466159752,0.523272714582335,2.79591058869397
"NEG_E",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,0.638582851068256,0.668610230940582,2.13563370054075,1.01029178335271,0.612377867958047,0.313679446227427,0.388907131961563,0.849138846494412,0.471218716946458,0.108779379471291,4.34405165718566,0.942645759944897,0.458748805021545,0.187731811957016,1.42042682741451,18.6142259850799,0.160056354850095,0.322596610113319,0.937385215203581,0.490004139322445,0.271812516753546,0.9236466159752,0.523272714582335,2.79591058869397
"NEG_F",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,0.638582851068256,0.668610230940582,2.13563370054075,1.01029178335271,0.612377867958047,0.313679446227427,0.388907131961563,0.849138846494412,0.471218716946458,0.108779379471291,4.34405165718566,0.942645759944897,0.458748805021545,0.187731811957016,1.42042682741451,18.6142259850799,0.160056354850095,0.322596610113319,0.937385215203581,0.490004139322445,0.271812516753546,0.9236466159752,0.523272714582335,2.79591058869397
"NEG_G",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,0.638582851068256,0.668610230940582,2.13563370054075,1.01029178335271,0.612377867958047,0.313679446227427,0.388907131961563,0.849138846494412,0.471218716946458,0.108779379471291,4.34405165718566,0.942645759944897,0.458748805021545,0.187731811957016,1.42042682741451,18.6142259850799,0.160056354850095,0.322596610113319,0.937385215203581,0.490004139322445,0.271812516753546,0.9236466159752,0.523272714582335,2.79591058869397
"NEG_H",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,0.638582851068256,0.668610230940582,2.13563370054075,1.01029178335271,0.612377867958047,0.313679446227427,0.388907131961563,0.849138846494412,0.471218716946458,0.108779379471291,4.34405165718566,0.942645759944897,0.458748805021545,0.187731811957016,1.42042682741451,18.6142259850799,0.160056354850095,0.322596610113319,0.937385215203581,0.490004139322445,0.271812516753546,0.9236466159752,0.523272714582335,2.79591058869397
"POS_A",1278444.9670537,85347.7114880082,336276.751535253,119276.324599367,39796.2980527685,73005.7077487959,36565.8926350194,30308.7703787675,66779.1301822086,42834.3510305881,20601.0038559767,13730.6903997132,14252.6685721274,45095.2167207787,29852.1769372751,6785.44013266021,234804.680174199,36250.3853444409,22458.0477498297,11498.0102869314,38689.5859251165,855565.668952226,7619.80288534846,17307.9533257998,60412.6023494404,26300.4821739929,8019.55649429663,47434.7956100224,23491.8052484593,153789.061931112
"POS_B",326740.150047529,22226.7982697364,85365.7261547265,30286.6885902757,10686.4743431083,20116.2147256336,9933.15624836672,7693.69792743328,18325.8727843402,11159.683038914,5444.03924614704,3700.79010659119,3892.96039093525,11855.676574755,7868.41013557196,1880.46913292021,64265.9002164046,9261.49459145861,5946.76075949429,3018.53980445687,10688.7118762942,229457.563718079,1947.24561310625,4616.68008733171,16662.0222002437,7017.83928337605,2117.14769299337,13068.6759694331,6406.42784463153,40442.8466654582
"POS_C",101278.437988866,6379.33064349778,23461.1687117619,8894.20575095873,3025.60728218325,5818.28473360023,2772.72673933837,2172.31464032595,5187.45425861348,3369.32309748128,1669.95444592159,1041.72944092129,1164.77686022488,3300.60269632378,2104.93400859983,470.362036833863,17102.5313743399,2671.45808368384,1612.50204965073,797.860200817319,2687.44755746826,63660.6528689731,516.341800746405,1291.67682689373,4267.91488482191,1887.00594053073,575.698910484011,3315.89135135097,1822.03559217569,10252.6041287408
"POS_D",20454.5512908789,1466.65770393987,5638.91247984452,2081.55935328356,650.971420923544,1237.0737887844,642.414348174665,504.132114129199,1170.32726789633,740.543877197535,328.846915093471,248.434121412122,245.400400267746,804.983626476703,531.063493998658,120.092434936306,4396.18027707189,633.457950682971,372.962778482516,208.006847648374,588.056706549608,15151.979951855,123.723562299123,326.467769434679,1039.56020366077,507.644288338052,134.275383276252,847.907593465234,418.094898951286,2577.82956277584
"POS_E",319.602363919983,79.8466944838326,131.711824346733,32.7102184087416,1.22593487932871,7.34168420643562,72.1598621707129,22.0641376210392,19.2207033048667,8.08233426682166,0.612377867958047,10.6651011717325,0.388907131961563,63.6854134870809,40.5248096573954,14.6852162286243,390.964649146709,0.942645759944897,16.0562081757541,17.8345221359166,1.42042682741451,930.711299253993,7.04247961340416,15.8072338955526,87.1768250139331,43.6103683996976,0.271812516753546,35.0985714070576,14.6516360083054,125.815976491229
"POS_F",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,11.4944913192286,0.668610230940582,2.13563370054075,1.01029178335271,0.612377867958047,0.313679446227427,0.388907131961563,0.849138846494412,3.76974973557166,0.108779379471291,4.34405165718566,0.942645759944897,7.33998088034472,2.81597717935524,1.42042682741451,18.6142259850799,0.160056354850095,2.90336949101987,12.1860077976466,0.490004139322445,0.271812516753546,0.9236466159752,0.523272714582335,11.1836423547759
